trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.7, 'e': 0.9776225586963783}",25,0,-142.6526781236832,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
136,False,"{'a': 0.7, 'e': 0.9772910783011246}",25,0,-186.5100350016752,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
137,False,"{'a': 0.7, 'e': 0.9769571889815868}",20,0,-131.3475721153783,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
138,False,"{'a': 0.7, 'e': 0.9766208915607686}",20,0,-72.29352092111463,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
139,False,"{'a': 0.7, 'e': 0.9762821868676093}",25,0,-160.976307973788,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
140,False,"{'a': 0.7, 'e': 0.9759410757369817}",20,0,-110.37788136456197,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
141,False,"{'a': 0.7, 'e': 0.9755975590096908}",25,0,-219.93913068640722,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
142,False,"{'a': 0.7, 'e': 0.9752516375324707}",25,0,-98.04867105777336,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.7, 'e': 0.9749033121579829}",30,19,-27.92591515112212,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.9745525837448147}",30,0,-73.42327975382501,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.7, 'e': 0.9741994531574761}",25,0,-77.04818304217761,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
146,False,"{'a': 0.7, 'e': 0.9738439212663987}",20,0,-52.274089424271445,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
147,False,"{'a': 0.7, 'e': 0.9734859889479329}",25,4,-83.25237345508116,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 2}",1
148,False,"{'a': 0.7, 'e': 0.9731256570843458}",25,0,-54.92949795507049,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
149,False,"{'a': 0.7, 'e': 0.9727629265638192}",20,0,-59.396921156012,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
150,False,"{'a': 0.7, 'e': 0.9723977982804476}",25,13,-16.71321780045261,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.9720302731342352}",25,1,-50.165366357347,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.9716603520310948}",25,0,-155.68078747928476,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
153,False,"{'a': 0.7, 'e': 0.9712880358828445}",20,0,-218.89022086002606,"{0: 12, 1: 0, 2: 1, 3: 3, 4: 4}",0
154,False,"{'a': 0.7, 'e': 0.9709133256072064}",20,0,-103.90786280461775,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
155,False,"{'a': 0.7, 'e': 0.9705362221278037}",25,0,-62.512024529958566,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.7, 'e': 0.9701567263741583}",25,5,-34.45118013889177,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.9697748392816894}",25,0,-155.28479191594838,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
158,False,"{'a': 0.7, 'e': 0.96939056179171}",20,0,-111.44873800841579,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
159,False,"{'a': 0.7, 'e': 0.9690038948514258}",25,0,-42.88845449077434,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
160,False,"{'a': 0.7, 'e': 0.9686148394139318}",20,0,-55.63005181874665,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
161,False,"{'a': 0.7, 'e': 0.9682233964382104}",20,0,-202.95115318586986,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
162,False,"{'a': 0.7, 'e': 0.9678295668891295}",20,2,-13.918087707408878,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.9674333517374392}",25,0,-58.95971070916075,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
164,False,"{'a': 0.7, 'e': 0.96703475195977}",25,0,-75.33977228003087,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
165,False,"{'a': 0.7, 'e': 0.9666337685386303}",25,9,-91.35428351071168,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 1}",1
166,False,"{'a': 0.7, 'e': 0.9662304024624038}",20,0,-126.28885172810764,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
167,False,"{'a': 0.7, 'e': 0.9658246547253476}",35,0,-217.2355230271716,"{0: 20, 1: 0, 2: 12, 3: 0, 4: 3}",0
168,False,"{'a': 0.7, 'e': 0.965416526327589}",20,0,-82.71933457815607,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
169,False,"{'a': 0.7, 'e': 0.9650060182751234}",30,0,-129.04587963608944,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
170,False,"{'a': 0.7, 'e': 0.9645931315798121}",20,0,-179.12636159805206,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
171,False,"{'a': 0.7, 'e': 0.964177867259379}",25,0,-143.55669685394335,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
172,False,"{'a': 0.7, 'e': 0.9637602263374091}",20,0,-63.43430473035442,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.9633402098433452}",25,0,-91.34178578124015,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
174,False,"{'a': 0.7, 'e': 0.962917818812486}",30,18,-38.624386650874314,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.7, 'e': 0.9624930542859825}",30,0,-146.93200693796345,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
176,False,"{'a': 0.7, 'e': 0.962065917310837}",25,0,-156.41143162570037,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
177,False,"{'a': 0.7, 'e': 0.961636408939899}",25,17,-9.244777525268018,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.9612045302318634}",30,0,-97.64137906955817,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
179,False,"{'a': 0.7, 'e': 0.9607702822512679}",30,0,-174.4454892279685,"{0: 13, 1: 7, 2: 8, 3: 0, 4: 2}",0
180,False,"{'a': 0.7, 'e': 0.9603336660684902}",25,0,-138.40587093383297,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
181,False,"{'a': 0.7, 'e': 0.9598946827597452}",25,0,-93.70106428028657,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
182,False,"{'a': 0.7, 'e': 0.9594533334070827}",25,0,-107.29366657140321,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
